0.4890000000000004 [0.01, 0.33] 1 33
0.5240000000000004 [0.01, 0.34] 1 34
0.7410000000000005 [0.01, 0.35] 1 35
0.6870000000000005 [0.01, 0.36] 1 36
0.8190000000000006 [0.01, 0.37] 1 37
0.7780000000000006 [0.01, 0.38] 1 38
0.7130000000000005 [0.01, 0.39] 1 39
1.3109999999999664 [0.01, 0.4] 1 40
2.794999999999803 [0.01, 0.41] 1 41
3.3909999999997376 [0.01, 0.42] 1 42
3.4459999999997315 [0.01, 0.43] 1 43
3.397999999999737 [0.01, 0.44] 1 44
3.3909999999997376 [0.01, 0.45] 1 45
3.4749999999997283 [0.01, 0.46] 1 46
3.5899999999997156 [0.01, 0.47] 1 47
3.6629999999997076 [0.01, 0.48] 1 48
3.7529999999996977 [0.01, 0.49] 1 49
3.850999999999687 [0.01, 0.5] 1 50
3.994999999999671 [0.01, 0.51] 1 51
4.157999999999723 [0.01, 0.52] 1 52
4.381999999999798 [0.01, 0.53] 1 53
4.649999999999888 [0.01, 0.54] 1 54
4.929999999999981 [0.01, 0.55] 1 55
5.213000000000076 [0.01, 0.56] 1 56
5.530000000000181 [0.01, 0.57] 1 57
5.980000000000332 [0.01, 0.58] 1 58
6.66400000000056 [0.01, 0.59] 1 59
7.582000000000867 [0.01, 0.6] 1 60
8.799000000000563 [0.01, 0.61] 1 61
19.53300000000089 [0.01, 0.62] 1 62
12.48399999999852 [0.01, 0.63] 1 63
20.00000000000146 [0.01, 0.64] 1 64
17.352999999998225 [0.01, 0.65] 1 65
5.6800000000002315 [0.01, 0.66] 1 66
20.00000000000146 [0.01, 0.67] 1 67
6.047000000000354 [0.01, 0.68] 1 68
4.996000000000003 [0.01, 0.69] 1 69
2.5459999999998306 [0.01, 0.7] 1 70
3.9809999999996726 [0.01, 0.71] 1 71
5.492000000000169 [0.01, 0.72] 1 72
6.282000000000433 [0.01, 0.73] 1 73
2.5489999999998303 [0.01, 0.74] 1 74
2.4949999999998362 [0.01, 0.75] 1 75
1.050999999999995 [0.01, 0.76] 1 76
3.622999999999712 [0.01, 0.77] 1 77
2.2129999999998673 [0.01, 0.78] 1 78
1.959999999999895 [0.01, 0.79] 1 79
1.8339999999999088 [0.01, 0.8] 1 80
1.8259999999999097 [0.01, 0.81] 1 81
1.796999999999913 [0.01, 0.82] 1 82
0.6880000000000005 [0.01, 0.83] 1 83
0.6930000000000005 [0.01, 0.84] 1 84
0.7700000000000006 [0.01, 0.85] 1 85
0.6370000000000005 [0.01, 0.86] 1 86
0.8000000000000006 [0.01, 0.87] 1 87
0.7890000000000006 [0.01, 0.88] 1 88
0.7330000000000005 [0.01, 0.89] 1 89
1.286999999999969 [0.01, 0.9] 1 90
0.9100000000000007 [0.01, 0.91] 1 91
1.6749999999999263 [0.01, 0.92] 1 92
0.7010000000000005 [0.01, 0.93] 1 93
0.7950000000000006 [0.01, 0.94] 1 94
0.8210000000000006 [0.01, 0.95] 1 95
0.7620000000000006 [0.01, 0.96] 1 96
0.6870000000000005 [0.01, 0.97] 1 97
0.7010000000000005 [0.01, 0.98] 1 98
0.8870000000000007 [0.01, 0.99] 1 99
0.33600000000000024 [0.02, 0.0] 2 0
0.6430000000000005 [0.02, 0.01] 2 1
0.35100000000000026 [0.02, 0.02] 2 2
0.47500000000000037 [0.02, 0.03] 2 3
0.6610000000000005 [0.02, 0.04] 2 4
0.7070000000000005 [0.02, 0.05] 2 5
0.5370000000000004 [0.02, 0.06] 2 6
0.5390000000000004 [0.02, 0.07] 2 7
0.6700000000000005 [0.02, 0.08] 2 8
0.6760000000000005 [0.02, 0.09] 2 9
0.5590000000000004 [0.02, 0.1] 2 10
0.8640000000000007 [0.02, 0.11] 2 11
0.8210000000000006 [0.02, 0.12] 2 12
0.8200000000000006 [0.02, 0.13] 2 13
1.0010000000000006 [0.02, 0.14] 2 14
1.4709999999999488 [0.02, 0.15] 2 15
1.6309999999999312 [0.02, 0.16] 2 16
2.2279999999998656 [0.02, 0.17] 2 17
2.132999999999876 [0.02, 0.18] 2 18
3.250999999999753 [0.02, 0.19] 2 19
2.768999999999806 [0.02, 0.2] 2 20
7.820000000000946 [0.02, 0.21] 2 21
2.6479999999998194 [0.02, 0.22] 2 22
3.4889999999997268 [0.02, 0.23] 2 23
2.852999999999797 [0.02, 0.24] 2 24
2.014999999999889 [0.02, 0.25] 2 25
4.47699999999983 [0.02, 0.26] 2 26
1.1069999999999889 [0.02, 0.27] 2 27
1.1549999999999836 [0.02, 0.28] 2 28
1.6349999999999307 [0.02, 0.29] 2 29
1.5889999999999358 [0.02, 0.3] 2 30
1.0979999999999899 [0.02, 0.31] 2 31
2.153999999999874 [0.02, 0.32] 2 32
0.9850000000000008 [0.02, 0.33] 2 33
0.7950000000000006 [0.02, 0.34] 2 34
0.7750000000000006 [0.02, 0.35] 2 35
0.8050000000000006 [0.02, 0.36] 2 36
0.5490000000000004 [0.02, 0.37] 2 37
0.5670000000000004 [0.02, 0.38] 2 38
0.7950000000000006 [0.02, 0.39] 2 39
0.5090000000000003 [0.02, 0.4] 2 40
0.6230000000000004 [0.02, 0.41] 2 41
0.5520000000000004 [0.02, 0.42] 2 42
0.8370000000000006 [0.02, 0.43] 2 43
0.7620000000000006 [0.02, 0.44] 2 44
1.3169999999999658 [0.02, 0.45] 2 45
1.0099999999999996 [0.02, 0.46] 2 46
1.3639999999999606 [0.02, 0.47] 2 47
4.355999999999789 [0.02, 0.48] 2 48
5.329000000000114 [0.02, 0.49] 2 49
5.186000000000067 [0.02, 0.5] 2 50
5.055000000000023 [0.02, 0.51] 2 51
4.961999999999992 [0.02, 0.52] 2 52
4.882999999999965 [0.02, 0.53] 2 53
4.826999999999947 [0.02, 0.54] 2 54
4.768999999999927 [0.02, 0.55] 2 55
4.713999999999909 [0.02, 0.56] 2 56
4.694999999999903 [0.02, 0.57] 2 57
4.688999999999901 [0.02, 0.58] 2 58
4.670999999999895 [0.02, 0.59] 2 59
4.651999999999888 [0.02, 0.6] 2 60
4.642999999999885 [0.02, 0.61] 2 61
4.6469999999998866 [0.02, 0.62] 2 62
4.651999999999888 [0.02, 0.63] 2 63
4.62699999999988 [0.02, 0.64] 2 64
4.623999999999879 [0.02, 0.65] 2 65
4.5749999999998625 [0.02, 0.66] 2 66
4.549999999999854 [0.02, 0.67] 2 67
4.516999999999843 [0.02, 0.68] 2 68
4.473999999999829 [0.02, 0.69] 2 69
4.404999999999806 [0.02, 0.7] 2 70
4.329999999999781 [0.02, 0.71] 2 71
4.255999999999756 [0.02, 0.72] 2 72
4.173999999999729 [0.02, 0.73] 2 73
4.0719999999996945 [0.02, 0.74] 2 74
3.967999999999674 [0.02, 0.75] 2 75
3.8819999999996835 [0.02, 0.76] 2 76
3.802999999999692 [0.02, 0.77] 2 77
3.7569999999996972 [0.02, 0.78] 2 78
3.6379999999997104 [0.02, 0.79] 2 79
3.958999999999675 [0.02, 0.8] 2 80
1.0299999999999974 [0.02, 0.81] 2 81
1.168999999999982 [0.02, 0.82] 2 82
0.8850000000000007 [0.02, 0.83] 2 83
0.8120000000000006 [0.02, 0.84] 2 84
0.9660000000000007 [0.02, 0.85] 2 85
0.8160000000000006 [0.02, 0.86] 2 86
1.2359999999999747 [0.02, 0.87] 2 87
0.7330000000000005 [0.02, 0.88] 2 88
0.7370000000000005 [0.02, 0.89] 2 89
0.9390000000000007 [0.02, 0.9] 2 90
1.6629999999999276 [0.02, 0.91] 2 91
0.7950000000000006 [0.02, 0.92] 2 92
0.9470000000000007 [0.02, 0.93] 2 93
1.0929999999999904 [0.02, 0.94] 2 94
1.09599999999999 [0.02, 0.95] 2 95
0.9570000000000007 [0.02, 0.96] 2 96
0.7930000000000006 [0.02, 0.97] 2 97
0.7680000000000006 [0.02, 0.98] 2 98
1.0899999999999908 [0.02, 0.99] 2 99
0.32600000000000023 [0.03, 0.0] 3 0
0.3790000000000003 [0.03, 0.01] 3 1
0.5790000000000004 [0.03, 0.02] 3 2
0.5890000000000004 [0.03, 0.03] 3 3
0.5190000000000003 [0.03, 0.04] 3 4
0.33900000000000025 [0.03, 0.05] 3 5
0.4290000000000003 [0.03, 0.06] 3 6
0.46900000000000036 [0.03, 0.07] 3 7
0.4120000000000003 [0.03, 0.08] 3 8
0.5720000000000004 [0.03, 0.09] 3 9
0.7390000000000005 [0.03, 0.1] 3 10
0.6550000000000005 [0.03, 0.11] 3 11
0.5760000000000004 [0.03, 0.12] 3 12
0.7360000000000005 [0.03, 0.13] 3 13
0.8450000000000006 [0.03, 0.14] 3 14
0.8280000000000006 [0.03, 0.15] 3 15
1.3159999999999659 [0.03, 0.16] 3 16
0.7770000000000006 [0.03, 0.17] 3 17
2.64399999999982 [0.03, 0.18] 3 18
4.024999999999679 [0.03, 0.19] 3 19
0.5710000000000004 [0.03, 0.2] 3 20
0.7270000000000005 [0.03, 0.21] 3 21
1.0099999999999996 [0.03, 0.22] 3 22
1.2439999999999738 [0.03, 0.23] 3 23
8.27900000000085 [0.03, 0.24] 3 24
1.1939999999999793 [0.03, 0.25] 3 25
0.9570000000000007 [0.03, 0.26] 3 26
1.8549999999999065 [0.03, 0.27] 3 27
0.7370000000000005 [0.03, 0.28] 3 28
0.8400000000000006 [0.03, 0.29] 3 29
3.6889999999997047 [0.03, 0.3] 3 30
1.73199999999992 [0.03, 0.31] 3 31
1.1129999999999882 [0.03, 0.32] 3 32
1.2949999999999682 [0.03, 0.33] 3 33
0.8810000000000007 [0.03, 0.34] 3 34
0.9740000000000008 [0.03, 0.35] 3 35
0.8610000000000007 [0.03, 0.36] 3 36
0.6700000000000005 [0.03, 0.37] 3 37
0.6610000000000005 [0.03, 0.38] 3 38
0.9790000000000008 [0.03, 0.39] 3 39
0.7280000000000005 [0.03, 0.4] 3 40
0.9460000000000007 [0.03, 0.41] 3 41
0.6320000000000005 [0.03, 0.42] 3 42
0.5550000000000004 [0.03, 0.43] 3 43
0.5820000000000004 [0.03, 0.44] 3 44
0.8640000000000007 [0.03, 0.45] 3 45
0.7180000000000005 [0.03, 0.46] 3 46
0.8280000000000006 [0.03, 0.47] 3 47
0.7520000000000006 [0.03, 0.48] 3 48
1.1739999999999815 [0.03, 0.49] 3 49
1.387999999999958 [0.03, 0.5] 3 50
1.4449999999999517 [0.03, 0.51] 3 51
2.8199999999998004 [0.03, 0.52] 3 52
3.7359999999996996 [0.03, 0.53] 3 53
9.187000000000348 [0.03, 0.54] 3 54
8.116000000000941 [0.03, 0.55] 3 55
7.511000000000843 [0.03, 0.56] 3 56
7.117000000000711 [0.03, 0.57] 3 57
6.7550000000005905 [0.03, 0.58] 3 58
6.447000000000488 [0.03, 0.59] 3 59
6.211000000000409 [0.03, 0.6] 3 60
6.009000000000341 [0.03, 0.61] 3 61
5.806000000000274 [0.03, 0.62] 3 62
5.6650000000002265 [0.03, 0.63] 3 63
5.52500000000018 [0.03, 0.64] 3 64
5.37500000000013 [0.03, 0.65] 3 65
5.268000000000094 [0.03, 0.66] 3 66
5.170000000000061 [0.03, 0.67] 3 67
5.049000000000021 [0.03, 0.68] 3 68
4.921999999999978 [0.03, 0.69] 3 69
4.821999999999945 [0.03, 0.7] 3 70
4.725999999999913 [0.03, 0.71] 3 71
