0.47400000000000037 [-0.49, 0.28] 1 28
0.5660000000000004 [-0.49, 0.29] 1 29
0.46200000000000035 [-0.49, 0.3] 1 30
0.2680000000000002 [-0.49, 0.31] 1 31
0.4130000000000003 [-0.49, 0.32] 1 32
0.2980000000000002 [-0.49, 0.33] 1 33
0.4130000000000003 [-0.49, 0.34] 1 34
0.2940000000000002 [-0.49, 0.35] 1 35
0.8620000000000007 [-0.49, 0.36] 1 36
0.5150000000000003 [-0.49, 0.37] 1 37
0.4290000000000003 [-0.49, 0.38] 1 38
0.4060000000000003 [-0.49, 0.39] 1 39
0.43300000000000033 [-0.49, 0.4] 1 40
0.5180000000000003 [-0.49, 0.41] 1 41
0.9830000000000008 [-0.49, 0.42] 1 42
0.3730000000000003 [-0.49, 0.43] 1 43
0.4020000000000003 [-0.49, 0.44] 1 44
5.658000000000224 [-0.49, 0.45] 1 45
0.36300000000000027 [-0.49, 0.46] 1 46
0.5500000000000004 [-0.49, 0.47] 1 47
0.4840000000000004 [-0.49, 0.48] 1 48
0.34700000000000025 [-0.49, 0.49] 1 49
0.9780000000000008 [-0.49, 0.5] 1 50
1.3769999999999591 [-0.49, 0.51] 1 51
0.6920000000000005 [-0.49, 0.52] 1 52
0.6470000000000005 [-0.49, 0.53] 1 53
0.6910000000000005 [-0.49, 0.54] 1 54
1.0559999999999945 [-0.49, 0.55] 1 55
0.5640000000000004 [-0.49, 0.56] 1 56
0.3960000000000003 [-0.49, 0.57] 1 57
0.4890000000000004 [-0.49, 0.58] 1 58
0.8440000000000006 [-0.49, 0.59] 1 59
0.4180000000000003 [-0.49, 0.6] 1 60
0.6080000000000004 [-0.49, 0.61] 1 61
0.46700000000000036 [-0.49, 0.62] 1 62
0.6600000000000005 [-0.49, 0.63] 1 63
0.44200000000000034 [-0.49, 0.64] 1 64
0.6220000000000004 [-0.49, 0.65] 1 65
0.6510000000000005 [-0.49, 0.66] 1 66
0.5070000000000003 [-0.49, 0.67] 1 67
0.46600000000000036 [-0.49, 0.68] 1 68
0.6160000000000004 [-0.49, 0.69] 1 69
